test_id,gas,oil,water,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7,Peak 8,Peak 9,Peak 10,Peak 11,Peak 12,Peak 13,Peak 14,Peak 15,Peak 16,Peak 17,Peak 18,Peak 19,Peak 20,Peak 21,Peak 22,Peak 23,Peak 24,Peak 25,Peak 26,Peak 27,Peak 28,Peak 29,Peak 30,Peak 31,Peak 32,Peak 33,Peak 34,Peak 35,Peak 36,Peak 37,Peak 38,Peak 39,Peak 40,Peak 41,Peak 42,Peak 43,Peak 44,Peak 45,Peak 46,Peak 47,Peak 48,Peak 49,Peak 50,Peak 51,Peak 52,Peak 53,Peak 54,Peak 55,Peak 56,Peak 57,Peak 58,Peak 59,Peak 60,Peak 61,Peak 62,Peak 63,Peak 64,Peak 65,Peak 66,Peak 67,Peak 68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W_04,0,0,39.9906203,443.2886676,886.574032,6.847674747,2462.483959,1226.54308,3825.14811,3410.171753,4962.516165,6250.080517,8750.112724,16250.21265,11250.14823,13750.18044,18750.24485,5684.072137,9962.580579,7957.32508,443.2886676,886.574032,0.006606536,1226.54308,2462.483959,1826.581729,3560.88336,4657.578275,2937.137157,7762.670098,10867.47454,5037.615965,6250.080517,12788.65856,13972.41441,17077.93235,8750.112724,443.2886676,886.574032,0.036335949,2462.483959,4657.641037,1325.115903,3825.14811,5037.615965,7763.294415,6250.080517,8750.112724,10867.62649,11250.14823,1809.62275,13972.69519,16250.21265,18750.24485,886.574032,443.2886676,2462.483959,112.73063,1543.448711,2815.675989,3576.844751,1874.730164,4962.516165,4412.835839,6250.080517,3197.058109,8750.112724,17180.35348,4049.843012,19449.93649,5691.884366
W_05,0,0,50.00203841,443.3018807,6.956682594,886.6070647,2462.483959,3676.669513,4962.516165,8750.112724,6250.080517,1226.579416,11250.14493,16250.21265,4048.039428,13750.17714,18750.24485,5319.034587,5687.917141,7961.939745,443.3018807,886.6037614,0.006606536,3704.383932,2462.483959,1463.608721,2938.088498,4513.020657,1800.542066,3370.552356,4962.516165,4144.181046,7764.704911,6250.080517,13975.15942,10872.09581,8750.112724,443.3018807,28.47086765,886.6070647,2462.483959,4024.526766,4659.36204,1325.115903,3599.852014,6250.080517,5037.612662,7764.704911,8750.112724,17531.44463,10870.95288,13976.69875,2824.145568,5688.482,443.3018807,0.006606536,886.6070647,3704.383932,1540.323819,2462.483959,4413.278477,4051.151106,2813.763397,4791.278051,6241.1683,5668.186721,15846.35509,1871.635002,3228.511828,16472.09647,10159.14815
W_501C3,0,0,50.00117203,548.7157719,166.3955234,892.328325,4817.030329,3524.028798,3867.925432,2269.774602,1814.633808,5202.865255,5836.673213,3058.591718,2710.731162,1225.125978,7943.804803,8625.757894,10213.9791,12484.37141,446.1625109,1210.951655,872.8159204,1743.388922,3587.963552,4484.153397,111.1946104,4153.532597,2189.68026,5119.586563,5534.665321,5912.298232,6614.510266,3215.985836,2734.950723,7549.863658,14894.65052,171.1984752,997.9437156,539.7374893,1786.50648,1399.967958,4181.570737,4575.333506,5027.326285,5919.565422,3414.181921,5465.17447,2183.357805,9760.271925,15100.96604,13207.1529,10841.80814,15433.6646,607.5800093,4782.55412,1193.041335,188.3523464,1588.601082,2331.95532,1972.797587,4264.017005,14691.07672,5687.910534,14313.31828,2747.866502,3429.862534,5350.184405,11040.63515,13251.79987,15025.34102
W_501C6,0,0,50.00417367,543.4701822,170.1876752,1128.208093,3380.389488,3733.763199,4888.879713,1485.796773,2375.462664,5837.674103,5221.878866,1900.740097,4136.702447,6477.342058,4554.605499,2994.888193,7172.39591,8122.547943,1181.585602,607.5205505,1761.200143,3595.96737,227.6480236,4493.557801,5125.902412,2375.462664,4162.405176,5917.735412,5533.700767,6612.231011,3219.672283,2804.091428,7315.077272,8582.74604,15818.75629,170.1876752,535.8363297,1001.977006,1560.506787,5042.309909,5920.592738,5464.837537,4181.141312,3409.438428,2375.462664,4588.549882,9880.976644,13339.24728,8502.876321,10841.5604,11818.99082,16133.55774,1165.48217,609.9319362,1581.680736,1971.337543,4788.301806,189.0196065,5701.212795,3434.288914,4263.478573,2333.032185,2734.567544,10933.46062,5126.523426,6173.408362,7461.147787,6892.840332,7963.05625
W_501,0.036426525,0,49.99986952,446.2054534,11.12871019,892.4109067,2537.573849,3458.062534,4786.96068,8750.112724,6250.080517,1325.096084,11250.14493,3825.128291,13750.17714,16250.20934,5202.201298,5673.012795,18750.24155,14749.66348,446.2054534,892.4109067,26.85887283,3586.460565,4452.864842,1727.444047,2462.493868,4082.598219,2131.080284,5150.131883,1325.096084,7758.633504,6250.080517,8750.112724,10862.17279,13965.57664,2794.819154,26.85887283,446.2054534,892.4109067,2462.493868,4655.236258,1325.096084,3674.96833,7758.633504,8750.112724,5037.606056,6250.080517,11250.14493,10863.74845,1802.391896,4080.652594,13965.57664,18750.24155,892.4109067,26.85887283,446.2054534,4528.05383,1489.470007,3967.198548,2462.493868,3610.547996,15995.08804,5698.348861,3078.834145,2085.012908,6257.5426,7980.715521,15067.72856,10194.25198,4962.526075
W_502C3,0,0,59.9953982,545.7197078,164.8363809,4888.129871,1132.631169,3467.694864,3847.570694,1551.878651,5830.007218,3065.138795,2112.885884,2712.505017,5220.058765,4550.790224,6473.602759,8118.1579,4178.231133,7480.90133,1212.352241,610.3745741,227.7471216,1812.869863,3588.392977,4508.673556,3960.093218,2195.939953,5925.247043,5107.526331,5543.712972,6611.768553,3219.510423,2598.519145,7513.854732,16332.57633,15826.09284,173.672623,536.8174003,1015.114103,1562.274036,4172.199365,5017.703865,5922.987608,5470.984919,3418.165662,4550.790224,3816.480335,10829.99566,2890.679994,2195.939953,9873.445193,15100.70839,11868.70831,610.3745741,1210.608115,4794.155197,1975.142908,1583.84768,188.408502,4253.796694,5704.156007,2746.746694,3701.041025,14825.11012,2330.44903,5126.979277,6892.787479,10878.34229,8892.850241,6162.372143
W_502C6,0,0,59.99880989,539.7507024,168.694598,1133.90623,5030.550275,3734.404033,1709.847538,3369.762875,5832.362448,2111.036054,4128.784513,6477.143862,2681.718558,4572.832932,5398.402209,8118.31976,8643.179329,7165.921504,1215.136896,572.8395388,1831.074173,3578.159452,230.3534001,4589.471494,4169.636029,2170.217405,5737.42322,5087.531649,6598.826349,3216.11136,7305.23023,15802.8048,16369.36483,2594.789755,8572.509212,172.2753406,539.7507024,1011.20964,1558.495097,4890.864977,4049.965233,5919.152514,5460.916558,4463.048817,3418.367162,9908.36404,2170.217405,10830.12118,11891.51407,16067.91519,8496.395309,13106.35697,612.6274029,1186.424889,1576.970276,2008.469579,4797.527834,210.5899472,5701.351532,4254.189783,2749.772487,3431.071531,2340.841111,6906.482829,3842.192974,6251.012039,5195.561729,10907.53987,7445.549755
W_502,0,0,60.00166691,445.7925449,16.7277496,891.5817864,2710.608941,5716.427648,5199.39352,4813.542078,2276.430687,3414.571707,1817.699241,3070.437237,3768.014785,1233.48655,7967.888931,10244.47157,14795.41044,13414.44618,445.7925449,891.5817864,33.45219593,5638.021276,4503.73517,1233.48655,1772.728549,3769.752304,5198.197737,3414.571707,4161.939415,7757.421205,2938.422128,10859.72177,15904.46288,6437.141286,13963.58808,33.45219593,445.7925449,5695.445289,891.5817864,4654.44017,13185.53631,4169.325522,5018.843493,7757.421205,10859.72177,1773.954061,15841.1029,13963.58808,6033.343188,2399.540185,17067.72195,2826.831125,445.7925449,16.72444633,5704.449998,891.5817864,4789.979867,4353.687521,1511.393797,3610.914658,2813.806339,5185.308385,6259.478315,15997.8727,19222.03082,10136.37542,16526.19409,8044.141571,14580.33465
W_503,0,0,70.19250509,445.5150703,40.77884455,890.9838949,5198.983915,2710.932661,4814.830352,1817.775216,5828.144174,3462.663987,2279.344169,3065.076033,6272.648445,3793.661359,7041.817722,7978.641069,10255.56725,12464.85901,445.4919475,20.38777064,890.9838949,4592.355247,5924.090899,5166.661436,1817.775216,1293.513538,3581.78644,6437.531071,5588.231116,2152.885157,3957.559612,13958.67612,3103.20896,7754.144363,2653.855492,170.567551,5988.927445,539.8035546,4581.659265,890.9838949,5204.787757,11958.22027,5556.63866,4243.146957,7755.006516,10856.42841,2845.501197,2154.695348,9274.962384,13958.01546,9757.206492,8414.533719,81.55438583,2622.639608,4814.830352,445.5150703,4429.044976,3109.12181,890.9838949,1293.513538,5697.437159,5183.5048,6253.152556,8032.999648,3604.321335,15993.56523,14826.78158,16518.1176,19265.50513
