test_id,gas,oil,water,ch1_p1,ch1_p2,ch1_p3,ch1_p4,ch1_p5,ch1_p6,ch1_p7,ch1_p8,ch1_p9,ch1_p10,ch1_p11,ch1_p12,ch1_p13,ch1_p14,ch1_p15,ch1_p16,ch1_p17,ch2_p1,ch2_p2,ch2_p3,ch2_p4,ch2_p5,ch2_p6,ch2_p7,ch2_p8,ch2_p9,ch2_p10,ch2_p11,ch2_p12,ch2_p13,ch2_p14,ch2_p15,ch2_p16,ch2_p17,ch4_p1,ch4_p2,ch4_p3,ch4_p4,ch4_p5,ch4_p6,ch4_p7,ch4_p8,ch4_p9,ch4_p10,ch4_p11,ch4_p12,ch4_p13,ch4_p14,ch4_p15,ch4_p16,ch4_p17
G_03,122.7029508,0,0,13592.90524,2293.6275,1542.203379,501.3303912,7.141665607,4683.951567,6976.218121,10326.94757,1002.650873,3832.732414,8290.172282,3060.970071,6451.081077,13206.01657,6004.086143,2654.876202,7951.253673,1542.203379,4683.951567,13606.39579,2293.6275,501.3303912,7194.894469,3718.667263,6717.492952,0.009909804,7562.878534,7929.108564,4102.952957,1906.752045,1002.650873,5511.60851,3108.451246,6016.05058,13610.21106,1542.599771,7143.244569,2293.6275,14844.02464,6743.968645,3375.873921,5739.996466,501.3303912,14037.39299,15858.45496,5114.601931,14511.84139,4684.149764,8012.182453,10341.81888,16395.03453
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G_05,184.4860178,0,0,6756.167614,13504.86984,500.8976631,3707.812725,10401.60803,4923.028899,8301.988072,7.002928347,5571.093762,1001.792023,4277.061611,6355.09141,5985.627481,3084.320873,11179.93066,13170.7641,14080.0547,6753.941212,13509.24007,500.8976631,3743.022259,5065.885334,4726.154121,4277.061611,7622.043369,16768.40622,16425.64922,7273.733568,2996.797482,15855.19464,1552.456723,10338.34714,6079.119877,14618.0811,6753.891663,13513.13792,3398.960462,5770.561605,6328.057464,7864.050699,13882.05681,7393.027792,14836.45024,14454.25882,16513.35429,15907.39288,12714.25245,4556.194371,500.8976631,8389.303357,10420.55227
G_08,19.74793647,0,0,500.3856565,1000.77792,6972.795936,7.49841856,2274.914487,3412.272632,1353.79818,6250.080517,3750.04831,11250.14163,13750.17383,8750.109421,16250.20604,5686.727964,4948.173375,7962.656554,18750.23825,500.3889598,1000.77792,6989.583144,0.009909804,1641.763879,4656.97708,3280.868627,2448.141168,3750.04831,7761.920256,10865.91539,13971.46637,6250.080517,17074.43419,12090.39723,5686.473613,11250.14163,6972.795936,500.3889598,1207.925861,1650.798317,0.013213072,2448.141168,3588.475558,5743.177513,6250.080517,4948.173375,13888.98707,17195.26113,19438.08437,8750.109421,11250.14163,18315.87501,7448.205582
OW_00,0,0,0,443.3646428,886.7292856,0.019819609,2283.549229,3425.264385,5708.826828,1226.784219,7992.521401,13298.89126,12560.84537,10277.11116,17125.00392,14844.78439,19412.58314,5332.267479,14207.47827,6851.565997,443.3646428,886.7292856,0.056155558,1226.784219,4657.67407,3425.264385,7762.818745,10868.46221,13972.5069,17079.32963,14868.13519,5709.639432,16337.1943,12560.84537,13303.66118,4175.073209,10276.88323,886.7292856,443.3646428,0.006606536,1226.784219,19239.25406,17371.78778,18303.61658,7599.349917,9151.872705,11010.47962,8741.02213,4732.327929,15198.3662,3176.937904,5977.613752,13440.07294,7268.861248
OW_05b,0,25.9221929,14.06394065,450.9621594,901.9243188,0.039639217,2276.136696,3412.054616,4273.682368,5690.3021,7966.590747,2683.664183,5299.968123,10240.40194,12512.64408,19350.11173,3080.013411,14788.46036,17060.83133,15174.25895,450.9621594,901.9243188,0.08588497,1762.686614,4656.029042,7759.994451,2968.541326,10863.99289,13968.29854,17072.64052,3414.129069,3782.30142,1278.883363,4173.814664,5690.3021,15035.36644,2485.623351,450.9621594,0.006606536,1182.137247,2752.236725,4540.272619,1885.284106,18395.42762,1553.30236,3826.357106,18745.05542,2329.405197,17607.82941,19407.29461,15874.03317,3119.788062,17221.47256,16373.72514
OW_05,0,37.98028748,21.91975637,450.7045045,18.38929345,901.4222221,2275.264633,3411.958821,2682.990316,5687.058291,7962.167671,4273.870654,5188.287933,12511.7522,3078.530244,10237.16144,14786.12165,17063.51028,19337.4437,6824.766583,450.7045045,901.4222221,1765.999792,0.049549021,2725.225902,4655.090914,1369.340057,3625.392882,7758.597168,10861.11574,4082.109335,13963.98116,17066.9655,5687.058291,3219.66898,2275.264633,6671.855,450.711111,4539.090049,117.8143596,18753.27065,2753.990761,1576.706014,1190.672892,19162.74706,18415.64362,6267.643994,17618.46593,15921.35579,10870.60273,4888.149691,7473.257567,15024.13203,16309.11983
OW_06b,0,14.46734381,14.94079061,449.2213371,23.92557076,898.4525841,1347.673921,2451.199995,11250.13502,6250.073911,8750.106117,3750.045007,3416.180398,5048.890019,7451.261105,13750.16392,18750.22504,4658.255445,16250.19613,9951.290009,449.2213371,23.92557076,898.4525841,1758.389062,1347.673921,2451.199995,4659.553629,3750.045007,7765.547244,3416.180398,6250.073911,13977.75579,5048.890019,10872.35016,11250.13502,8750.106117,17085.10375,23.92557076,449.2213371,898.4525841,1347.673921,2451.199995,3750.045007,6250.073911,5048.890019,8750.106117,7548.918923,11250.13502,4658.255445,19214.08315,12500.25022,9951.290009,17386.29573,4238.337399
OW_06,0,25.92555402,14.06117197,450.9720692,901.9375319,0.006606536,2278.600934,3417.845245,5696.353688,4271.627735,2686.049143,10253.1955,5293.123752,7973.623404,12531.69073,15174.25235,19366.80315,14809.69377,3076.776209,17089.53673,450.9720692,901.9375319,0.099098043,1759.85241,4655.30893,2977.552642,3417.845245,7759.756615,10862.42054,13966.12829,3782.228748,1280.383047,17069.68079,5696.353688,4170.858239,2487.473182,14861.29082,450.9720692,1181.423742,0.013213072,2750.343953,18456.68012,1688.039362,4538.898459,2086.211994,3826.357106,18803.53648,3401.375151,19410.28076,17233.5361,6275.363731,17610.97742,15884.49132,10866.6289
OW_07,0,16.26324229,8.831812534,451.0414378,902.0795724,0.013213072,2281.111418,3421.693553,5703.082445,7983.992363,12545.9179,10264.89237,4271.997701,15174.17967,14827.16145,17108.36536,19389.43384,5293.658881,6843.420138,16076.26255,451.0414378,902.0795724,0.013213072,4656.821827,3421.693553,1761.900436,7760.638588,13970.03936,10865.90218,5702.854519,17075.29965,14858.80015,4173.345599,2281.256761,12545.9179,10264.89237,2974.2758,451.0414378,0.006606536,1189.562994,1581.056418,19290.83789,18307.27991,17326.51319,2057.513201,7601.460705,9153.600314,4540.36511,2711.474397,7140.01067,11122.78413,4961.284046,15625.38628,3085.605844
